episode,iteration,epReward,time,memory
63.00000,0.00000,-1.64231,-3.64183,726640.00000
64.00000,0.00000,-2.01753,-3.64290,726640.00000
65.00000,0.00000,-1.53755,-3.64582,726640.00000
66.00000,0.00000,-1.59951,-3.64136,726640.00000
67.00000,0.00000,-1.35923,-3.64237,726640.00000
68.00000,0.00000,-1.55242,-3.65930,726640.00000
69.00000,0.00000,-1.49907,-3.65100,726640.00000
70.00000,0.00000,-1.70977,-3.65178,726640.00000
71.00000,0.00000,-1.54529,-3.63846,726640.00000
72.00000,0.00000,-1.08500,-3.62367,726640.00000
73.00000,0.00000,-1.93080,-3.64581,726640.00000
74.00000,0.00000,-2.35947,-3.65745,726640.00000
75.00000,0.00000,-1.68414,-3.60785,726640.00000
76.00000,0.00000,-2.09515,-3.56378,726640.00000
77.00000,0.00000,-1.82965,-3.54759,726640.00000
78.00000,0.00000,-1.63749,-3.47958,726640.00000
79.00000,0.00000,-1.51787,-3.40144,726640.00000
80.00000,0.00000,-1.81491,-3.41753,726640.00000
81.00000,0.00000,-1.68606,-3.46499,726640.00000
82.00000,0.00000,-1.16327,-3.48489,726640.00000
83.00000,0.00000,-1.87708,-3.48846,726640.00000
84.00000,0.00000,-2.20577,-3.47704,726640.00000
85.00000,0.00000,-1.44929,-3.61833,726640.00000
86.00000,0.00000,-1.20682,-3.63460,726640.00000
87.00000,0.00000,-1.35873,-3.64647,726640.00000
88.00000,0.00000,-1.63467,-3.65030,726640.00000
89.00000,0.00000,-1.04843,-3.65252,726640.00000
90.00000,0.00000,-1.23991,-3.65929,726640.00000
91.00000,0.00000,-1.25712,-3.57128,726640.00000
92.00000,0.00000,-1.98647,-3.53497,726640.00000
93.00000,0.00000,-1.95283,-3.45168,726640.00000
94.00000,0.00000,-1.14380,-3.37535,726640.00000
95.00000,0.00000,-1.68729,-3.49981,726640.00000
96.00000,0.00000,-1.56634,-3.50623,726640.00000
97.00000,0.00000,-1.63147,-3.45513,726640.00000
98.00000,0.00000,-1.34634,-3.62725,726640.00000
99.00000,0.00000,-1.10046,-3.65140,726640.00000
0.00000,1.00000,-1.60192,-3.59465,694407.00000
1.00000,1.00000,-0.66322,-3.64783,694407.00000
2.00000,1.00000,-1.38514,-3.65698,694407.00000
3.00000,1.00000,-1.99857,-3.65709,694407.00000
4.00000,1.00000,-1.49402,-3.66205,694407.00000
5.00000,1.00000,-2.01158,-3.64596,694407.00000
6.00000,1.00000,-1.14479,-3.63925,694407.00000
7.00000,1.00000,-1.78137,-3.65225,694407.00000
8.00000,1.00000,-1.79845,-3.54098,694407.00000
9.00000,1.00000,-1.23406,-3.56424,694407.00000
10.00000,1.00000,-1.21589,-3.57859,694407.00000
11.00000,1.00000,-0.98739,-3.55821,694407.00000
12.00000,1.00000,-1.62252,-3.46607,694407.00000
13.00000,1.00000,-1.30480,-3.43768,694407.00000
14.00000,1.00000,-1.74535,-3.48055,694407.00000
15.00000,1.00000,-1.38233,-3.42516,694407.00000
16.00000,1.00000,-1.80740,-3.55693,694407.00000
17.00000,1.00000,-1.35452,-3.57872,694407.00000
18.00000,1.00000,-1.89549,-3.58525,694407.00000
19.00000,1.00000,-1.75552,-3.61933,694407.00000
20.00000,1.00000,-1.70644,-3.64799,694407.00000
21.00000,1.00000,-1.01924,-3.65124,694407.00000
22.00000,1.00000,-1.20206,-3.64889,694407.00000
23.00000,1.00000,-1.54387,-3.65141,694407.00000
24.00000,1.00000,-1.66606,-3.65297,694407.00000
25.00000,1.00000,-1.60956,-3.65738,694407.00000
26.00000,1.00000,-2.17237,-3.64860,694407.00000
27.00000,1.00000,-2.26904,-3.52014,694407.00000
28.00000,1.00000,-1.44692,-3.47439,694407.00000
29.00000,1.00000,-1.66880,-3.45048,694407.00000
30.00000,1.00000,-1.98380,-3.39813,694407.00000
31.00000,1.00000,-1.65519,-3.50423,694407.00000
32.00000,1.00000,-1.47488,-3.54863,694407.00000
33.00000,1.00000,-1.72569,-3.63908,694407.00000
34.00000,1.00000,-1.35448,-3.53265,694407.00000
35.00000,1.00000,-1.40962,-3.62878,694407.00000
36.00000,1.00000,-1.63845,-3.64670,694407.00000
37.00000,1.00000,-1.44485,-3.64345,694407.00000
38.00000,1.00000,-1.85108,-3.65342,694407.00000
39.00000,1.00000,-0.97608,-3.65508,694407.00000
40.00000,1.00000,-1.69138,-3.65811,694407.00000
41.00000,1.00000,-1.69053,-3.65920,694407.00000
42.00000,1.00000,-1.85588,-3.64913,694407.00000
43.00000,1.00000,-0.98347,-3.65734,694407.00000
44.00000,1.00000,-1.67948,-3.64764,694407.00000
45.00000,1.00000,-1.68194,-3.64848,694407.00000
46.00000,1.00000,-1.26926,-3.57792,694407.00000
47.00000,1.00000,-1.67643,-3.52370,694407.00000
48.00000,1.00000,-1.24766,-3.48183,694407.00000
49.00000,1.00000,-1.17697,-3.40254,694407.00000
50.00000,1.00000,-2.12191,-3.49912,694407.00000
51.00000,1.00000,-1.51092,-3.46561,694407.00000
52.00000,1.00000,-1.84620,-3.47406,694407.00000
53.00000,1.00000,-1.39185,-3.43751,694407.00000
54.00000,1.00000,-1.41902,-3.52536,694407.00000
55.00000,1.00000,-2.29073,-3.63609,694407.00000
56.00000,1.00000,-1.06034,-3.64158,694407.00000
57.00000,1.00000,-1.89259,-3.65993,694407.00000
58.00000,1.00000,-1.62515,-3.64745,694407.00000
59.00000,1.00000,-1.55015,-3.64366,694407.00000
60.00000,1.00000,-1.70648,-3.62975,694407.00000
61.00000,1.00000,-1.25944,-3.58314,694407.00000
62.00000,1.00000,-1.92879,-3.60617,694407.00000
63.00000,1.00000,-1.18325,-3.45764,694407.00000
64.00000,1.00000,-2.23992,-3.43009,694407.00000
65.00000,1.00000,-1.14070,-3.44299,694407.00000
66.00000,1.00000,-1.55045,-3.44068,694407.00000
67.00000,1.00000,-1.70813,-3.47233,694407.00000
68.00000,1.00000,-1.56375,-3.62251,694407.00000
69.00000,1.00000,-1.49903,-3.65355,694407.00000
70.00000,1.00000,-1.95853,-3.64655,694407.00000
71.00000,1.00000,-2.78344,-3.64132,694407.00000
72.00000,1.00000,-1.98637,-3.53268,694407.00000
73.00000,1.00000,-1.99876,-3.63564,694407.00000
74.00000,1.00000,-1.55476,-3.64842,694407.00000
75.00000,1.00000,-1.36662,-3.64756,694407.00000
76.00000,1.00000,-1.48295,-3.66159,694407.00000
77.00000,1.00000,-1.42619,-3.65065,694407.00000
78.00000,1.00000,-1.86011,-3.64649,694407.00000
79.00000,1.00000,-1.23351,-3.65635,694407.00000
80.00000,1.00000,-1.33806,-3.65815,694407.00000
81.00000,1.00000,-1.56021,-3.65216,694407.00000
82.00000,1.00000,-1.46066,-3.65377,694407.00000
83.00000,1.00000,-1.01929,-3.65300,694407.00000
84.00000,1.00000,-1.79172,-3.66636,694407.00000
85.00000,1.00000,-1.88865,-3.64974,694407.00000
86.00000,1.00000,-2.27854,-3.65311,694407.00000
87.00000,1.00000,-2.20190,-3.65413,694407.00000
88.00000,1.00000,-1.79179,-3.61078,694407.00000
89.00000,1.00000,-0.70773,-3.64418,694407.00000
90.00000,1.00000,-1.64666,-3.65386,694407.00000
91.00000,1.00000,-1.31974,-3.66050,694407.00000
92.00000,1.00000,-1.82609,-3.37548,694407.00000
93.00000,1.00000,-1.38619,-3.63144,694407.00000
94.00000,1.00000,-1.40465,-3.64351,694407.00000
95.00000,1.00000,-1.08135,-3.64997,694407.00000
96.00000,1.00000,-1.53593,-3.64692,694407.00000
97.00000,1.00000,-2.10249,-3.65520,694407.00000
98.00000,1.00000,-1.86683,-3.66010,694407.00000
99.00000,1.00000,-2.00739,-3.65010,694407.00000
